"Campaign name","Ad set name","Ad name",Age,Gender,"Campaign name","Result Type",Results,"Cost per result","Amount spent (INR)","Result rate",Frequency,"CTR (all)","CPM (cost per 1,000 impressions)","Reporting starts","Reporting ends"
,,,,,,,,,361789.49,,3.4596548375983,1.3626191,163.77027044,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","New - Imbalance",35-44,male,"PATC Webinar",,,,11825.677021649,,2.4215197501781,2.39366516,267.54925388,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","New - Imbalance",25-34,male,"PATC Webinar",,,,10777.474763368,,2.029575772513,1.58778348,163.59747963,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Indicators,35-44,male,"PATC Webinar",,,,9282.6224173565,,2.2923849599566,2.91331123,274.82894414,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Template,25-34,male,"PATC Webinar",,,,7571.13,,2.1493281317729,0.69199355,95.43120399,2022-01-01,2022-03-31
"PATC Webinar – Remarketing – Copy","Website Visits",Date,35-44,male,"PATC Webinar – Remarketing – Copy",,,,6773.5711685864,,5.0061823802164,3.82062365,522.81345852,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Template,35-44,male,"PATC Webinar",,,,6150.06,,2.7121893744644,1.48888275,242.88377236,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Indicators,25-34,male,"PATC Webinar",,,,6044.4373947247,,1.9362119142365,2.06441718,185.41219002,2022-01-01,2022-03-31
"PATC Webinar – Remarketing – Copy","Website Visits",Date,25-34,male,"PATC Webinar – Remarketing – Copy",,,,5769.08476212,,4.76416,3.18377217,387.4989765,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","New - Imbalance",25-34,male,"PATC Webinar - Conv - 19th Jan 22",,,,5580.7982166866,,1.9219827586207,1.27270688,156.44758401,2022-01-01,2022-03-31
"PATC Webinar – Remarketing – Copy","Website Visits","Last Few Seats Left",35-44,male,"PATC Webinar – Remarketing – Copy",,,,5566.3422868774,,3.9069498069498,3.96284218,550.08817935,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Template,35-44,male,"PATC Webinar",,,,5475.64,,2.1653490453461,1.18141425,188.60055799,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Indicators,35-44,male,"PATC Webinar",,,,5369.56,,1.9367692907249,2.51521706,270.11217868,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Indicators,45-54,male,"PATC Webinar",,,,5362.512148955,,2.4232291524498,2.73162489,302.02828212,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Template,25-34,male,"PATC Webinar",,,,4836.09,,2.185472972973,1.04498377,149.5158448,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","New - Imbalance",45-54,male,"PATC Webinar",,,,4777.223566008,,2.6178601516428,2.60668083,307.4740018,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","New - Imbalance",35-44,male,"PATC Webinar - Conv - 19th Jan 22",,,,4754.0469994494,,2.0333471416736,1.46175003,242.13339103,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Reel #1",25-34,male,"PATC Webinar",,,,4635.861314533,,1.3376202265408,0.54378982,75.93175298,2022-01-01,2022-03-31
"PATC Webinar – Remarketing – Copy","Website Visits","Last Few Seats Left",25-34,male,"PATC Webinar – Remarketing – Copy",,,,4560.5363291906,,4.0036399735275,2.58699066,376.93498051,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels",Indicators,25-34,male,"PATC Webinar",,,,4265.27459343,,1.3057926606843,0.43858424,59.5758666,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Template,35-44,male,"PATC Webinar - Conv - 19th Jan 22",,,,4198.1123344551,,2.2347682119205,1.94843681,311.01736068,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Invest in Learning",35-44,male,"PATC Webinar",,,,3814.91,,1.7024155995343,2.36772374,326.08855458,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Testimonial - 2",25-34,male,"PATC Webinar",,,,3653.0858890579,,1.3655878752349,0.3270202,46.12482183,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Template,25-34,male,"PATC Webinar - Conv - 19th Jan 22",,,,3605.5134165113,,1.8504349545275,1.19664512,192.61250155,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Reel #1",35-44,male,"PATC Webinar",,,,3497.9289955737,,1.4077016619376,1.07118176,201.44718933,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Template,45-54,male,"PATC Webinar",,,,3480.56,,2.8897058823529,1.47274269,268.37535662,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Indicators,45-54,male,"PATC Webinar",,,,3468.06,,2.0459104938272,2.96058835,326.9903828,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Invest in Learning",25-34,male,"PATC Webinar",,,,3265.06,,1.4743682310469,1.53036239,199.86900098,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Analyse Stocks",35-44,male,"PATC Webinar",,,,3208.3870463807,,1.8553082191781,1.70742963,296.1132484,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Vasudev,35-44,male,"PATC Webinar",,,,3189.1864440572,,1.5494972931168,1.98818734,265.3012598,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Indicators,35-44,male,"PATC Webinar - Conv - 19th Jan 22",,,,2972.5595176705,,1.847594637224,2.34766834,317.20835745,2022-01-01,2022-03-31
"PATC Webinar – Remarketing – Copy","Website Visits",Date,45-54,male,"PATC Webinar – Remarketing – Copy",,,,2889.9370395268,,5.0466926070039,3.66229761,557.04260592,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels",Indicators,35-44,male,"PATC Webinar",,,,2883.0549550206,,1.3432589634517,0.92419053,186.32811704,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Indicators,25-34,male,"PATC Webinar",,,,2697.13,,1.6255575379126,2.2499657,185.0137193,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Vasudev,25-34,male,"PATC Webinar",,,,2652.8315854613,,1.2613895981723,0.93756659,94.21235832,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","New Reel",25-34,male,"PATC Webinar",,,,2646.1167527502,,1.2059655554801,0.42411049,49.65689748,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels",Profits,25-34,male,"PATC Webinar",,,,2638.29,,1.4448693198693,0.54729053,67.78925461,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Inconsistent Profits",35-44,male,"PATC Webinar",,,,2558.543649128,,1.7633371169126,2.41390409,411.73859819,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels",Template,25-34,male,"PATC Webinar – News",,,,2483.92,,1.7311320754717,1.46208547,165.07742407,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","New - Imbalance",25-34,male,"PATC Webinar",,,,2445.4351628686,,1.5544202961295,1.4483066,136.22076442,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Testimonial - 2",35-44,male,"PATC Webinar",,,,2359.5462951765,,1.4408036354939,0.72487826,130.56365068,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Indicators - Female",35-44,male,"PATC Webinar",,,,2261.4534313104,,1.6303790983607,2.59230165,355.29511882,2022-01-01,2022-03-31
"PATC Webinar – Remarketing – Copy","Website Visits","Last Few Seats Left",45-54,male,"PATC Webinar – Remarketing – Copy",,,,2245.9686434597,,3.7607003891051,3.77651319,580.95412402,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Analyse Stocks",25-34,male,"PATC Webinar",,,,2244.6509754159,,1.4422222222222,1.11710324,172.93150812,2022-01-01,2022-03-31
